Ecell/V,I/mA,Capacity/mA.h
3.8733,-2860.9534,15734.2468
3.8723,-2860.9534,15736.6806
3.8713,-2860.5593,15745.2184
3.8703,-2861.1504,15758.1023
3.8692,-2861.3474,15776.1985
3.8682,-2861.1504,15798.6801
3.8672,-2860.1658,15826.7302
3.8662,-2860.1658,15861.2261
3.8652,-2861.5444,15896.7212
3.8641,-2861.3474,15936.0684
3.8631,-2861.1504,15976.6647
3.8621,-2860.3623,16022.2411
3.8611,-2860.1658,16067.8445
3.86,-2860.7563,16113.8471
3.859,-2860.5593,16162.1033
3.8583,-2861.5444,16211.043
3.8611,0,16211.043
3.8621,0,16211.043
3.8631,0,16211.043
3.8642,0,16211.043
3.8652,0,16211.043
3.8662,0,16211.043
3.8672,0,16211.043
3.8649,-2860.3623,16211.0446
3.8639,-2860.3623,16213.9217
3.8628,-2860.7563,16223.5131
3.8618,-2861.3474,16235.295
3.8608,-2861.7412,16254.2457
3.8598,-2859.9688,16276.3151
3.8587,-2861.5444,16305.4068
3.8577,-2861.7412,16336.9176
3.8567,-2860.7563,16371.8571
3.8557,-2860.7563,16411.1326
3.8546,-2860.9534,16452.697
3.8536,-2863.908,16496.4839
3.8526,-2861.9382,16540.2945
3.8516,-2860.7563,16588.1087
3.8505,-2860.5593,16634.8551
3.8495,-2861.9382,16685.6642
3.8498,-2860.3623,16687.8371
3.8525,0,16687.8371
3.8535,0,16687.8371
3.8546,0,16687.8371
3.8556,0,16687.8371
3.8566,0,16687.8371
3.8576,0,16687.8371
3.8587,0,16687.8371
3.8566,-2860.9534,16687.8387
3.8555,-2861.7412,16690.5426
3.8545,-2861.9382,16699.3313
3.8535,-2860.9534,16712.6678
3.8524,-2860.7563,16730.1308
3.8514,-2859.9688,16753.5848
3.8503,-2860.5593,16781.7403
3.8493,-2861.3474,16811.794
3.8483,-2861.5444,16847.4983
3.8473,-2860.3623,16884.5391
3.8462,-2862.332,16923.2457
3.8452,-2861.5444,16968.1676
3.8442,-2861.3474,17011.4606
3.8432,-2862.135,17056.9564
3.8422,-2861.3474,17104.1773
3.8411,-2860.5593,17150.9624
3.8409,-2860.7563,17164.6346
3.8439,0,17164.6346
3.845,0,17164.6346
3.846,0,17164.6346
3.847,0,17164.6346
3.8481,0,17164.6346
3.8491,0,17164.6346
3.8501,0,17164.6346
3.8511,0,17164.6346
3.8482,-2860.5593,17164.6362
3.8472,-2861.3474,17167.4927
3.8461,-2861.3474,17176.2895
3.8451,-2860.5593,17188.9919
3.8441,-2859.1807,17206.7123
3.843,-2861.7412,17227.2718
3.842,-2862.135,17253.7953
3.841,-2861.5444,17286.5291
3.8399,-2861.1504,17320.1798
3.8389,-2861.3474,17356.4897
3.8379,-2860.1658,17397.3268
3.8369,-2860.3623,17438.3069
3.8359,-2860.5593,17480.1185
3.8348,-2863.3169,17524.8473
3.8338,-2861.7412,17568.5087
3.8328,-2861.3474,17617.8953
3.8324,-2861.1504,17641.429
3.8355,0,17641.429
3.8365,0,17641.429
3.8375,0,17641.429
3.8386,0,17641.429
3.8396,0,17641.429
3.8406,0,17641.429
3.8416,0,17641.429
3.8427,0,17641.429
3.8398,-2860.3623,17641.4306
3.8388,-2862.135,17644.338
3.8378,-2862.332,17653.0967
3.8368,-2862.332,17666.0184
3.8357,-2861.3474,17682.9332
3.8347,-2860.7563,17703.5201
3.8336,-2861.7412,17729.0272
3.8326,-2861.5444,17760.8527
3.8316,-2860.3623,17793.7242
3.8305,-2862.332,17829.5144
3.8295,-2860.5593,17868.9179
3.8285,-2861.5444,17908.8635
3.8274,-2861.1504,17952.0967
3.8264,-2862.9229,17996.9814
3.8253,-2861.1504,18043.2744
3.8243,-2860.5593,18090.801
3.824,-2860.9534,18118.225
3.8268,0,18118.225
3.8279,0,18118.225
3.8289,0,18118.225
3.8299,0,18118.225
3.831,0,18118.225
3.832,0,18118.225
3.833,0,18118.225
3.834,0,18118.225
3.8315,-2862.332,18118.2265
3.8305,-2861.9382,18121.0513
3.8295,-2860.3623,18129.678
3.8284,-2861.3474,18142.7348
3.8274,-2860.5593,18159.6669
